sequence,station_code,station_name,latitude,longitude,distance_km,platforms,zone,division
1,MASS,Chennai Central,13.0827,80.2754,0.0,4,SR,MAS
2,BBQ,Basin Bridge Junction,13.0986,80.2691,2.2,4,SR,MAS
3,VPY,Vyasarpadi Jeeva,13.1097,80.2589,3.8,2,SR,MAS
4,PER,Perambur,13.1118,80.2441,5.6,4,SR,MAS
5,PCW,Perambur Carriage Works,13.1115,80.2335,6.7,2,SR,MAS
6,VLK,Villivakkam,13.1092,80.2078,9.8,3,SR,MAS
7,KOT,Korattur,13.1095,80.1837,12.1,2,SR,MAS
8,PVM,Pattaravakkam,13.1147,80.1692,13.9,2,SR,MAS
9,ABU,Ambattur,13.1171,80.1554,15.5,3,SR,MAS
10,TMVL,Thirumullaivoyal,13.1202,80.1378,17.1,2,SR,MAS
11,ANNR,Annanur,13.1201,80.1235,18.3,2,SR,MAS
12,AVD,Avadi,13.1192,80.1009,21.2,4,SR,MAS
13,HC,Hindu College,13.1215,80.0825,23.9,2,SR,MAS
14,PAB,Pattabiram,13.1242,80.0682,25.1,3,SR,MAS
15,NEC,Nemilichery,13.1234,80.0435,27.2,2,SR,MAS
16,TI,Thiruninravur,13.1221,80.0276,29.1,3,SR,MAS
17,VEU,Veppampattu,13.1294,79.9983,32.3,2,SR,MAS
18,SVR,Sevvapet Road,13.1362,79.9682,36.1,2,SR,MAS
19,PUT,Putlur,13.1398,79.9412,39.4,2,SR,MAS
20,TRL,Tiruvallur,13.1438,79.9079,41.8,4,SR,MAS
