dataset_type,train_number,train_type,station_sequence,current_delay,current_speed,distance_to_next_station,distance_from_origin,journey_time,station_halt_duration,time_of_day,day_of_week,signal_status,signal_waiting_time,block_status,track_occupancy,section_restriction,construction_active,maintenance_active,engineering_block,temporary_speed_restriction,affected_section,restriction_duration,congestion_level,preceding_train_delay,train_density,previous_station_delay,temperature,humidity,precipitation,rain,showers,weather_code,cloud_cover,visibility,wind_speed,wind_direction,wind_gusts,weather_impact,actual_additional_delay_minutes
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,EMU Local,12,4.6,32.8,1.2,22.549999999999997,45.2,0.5,20,3,Warning,2.0,Occupied,0.71,0,0,0,0,0,0,0,0.85,1.0,5,3.1,34.5,66.0,0.0,0.0,0.0,0,58.2,6854.0,7.9,151,12.2,0,4.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,4,3.8,45.9,1.8,6.1499999999999995,14.9,0.5,13,6,Normal,0.9,Clear,0.46,0,0,0,0,0,0,0,0.09,0.4,1,2.4,32.5,64.1,0.0,0.0,0.0,0,32.9,7383.0,32.5,211,40.8,1,2.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43245,EMU Local,3,5.9,53.6,1.5,4.1,13.3,1.5,10,4,Normal,0.1,Clear,0.44,0,1,0,0,20,1,65,0.58,3.9,1,6.4,31.1,54.4,3.3000000000000003,3.2,0.0,61,85.8,5108.0,33.5,357,56.9,2,14.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,EMU Local,17,2.4,68.3,1.9,32.8,61.4,0.5,7,1,Warning,4.5,Occupied,0.97,0,0,1,0,30,1,78,0.29,4.3,2,4.0,31.4,83.2,0.0,0.0,0.0,0,38.3,8357.0,32.9,329,51.9,2,15.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43209,Fast Local,18,2.6,17.9,1.9,34.849999999999994,65.3,0.5,13,5,Normal,0.3,Clear,0.31,0,0,1,0,20,1,52,0.45,0.3,1,2.3,25.7,79.1,0.0,0.0,0.0,0,59.0,8039.0,23.1,109,35.1,1,11.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,MEMU,18,4.1,52.9,1.7,34.849999999999994,66.8,1.0,10,2,Warning,3.1,Occupied,0.82,0,0,0,0,0,0,0,0.94,2.0,5,5.4,28.2,67.2,0.0,0.0,0.0,0,35.1,7143.0,14.7,189,23.1,0,6.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43245,Fast Local,17,0.5,55.3,2.0,32.8,59.5,1.5,14,6,Normal,1.0,Clear,0.5,0,0,0,0,0,0,0,0.38,1.8,1,0.0,37.6,75.9,7.1000000000000005,6.4,1.5,63,85.5,9876.0,33.2,144,52.2,2,9.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,12,2.3,30.2,2.5,22.549999999999997,42.9,1.0,11,1,Normal,0.1,Clear,0.11,0,0,1,1,30,1,77,0.24,0.7,1,2.0,32.3,67.0,5.800000000000001,3.2,0.0,61,99.2,5866.0,34.6,319,46.1,2,9.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,EMU Local,21,14.3,36.6,2.9,41.0,88.1,0.5,11,0,Normal,0.1,Clear,0.29,0,0,0,0,0,0,0,0.2,0.0,1,14.2,34.2,69.3,0.0,0.0,0.0,0,19.4,7909.0,35.3,122,43.1,1,2.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,4,0.2,17.5,1.9,6.1499999999999995,11.3,1.5,8,6,Warning,5.9,Occupied,0.9,0,0,0,0,0,0,0,0.75,1.1,5,0.0,29.0,78.1,0.0,0.0,0.0,0,28.9,7793.0,27.3,164,33.4,1,10.1
